"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"benchmarks.MapBenchmark.new_map_1","thrpt",1,6,286691678.962355,199488.670215,"ops/s",0
"benchmarks.MapBenchmark.new_map_1","thrpt",1,6,264340024.952104,4639637.326478,"ops/s",1
"benchmarks.MapBenchmark.new_map_1","thrpt",1,6,158124809.494807,1945962.950897,"ops/s",10
"benchmarks.MapBenchmark.new_map_1","thrpt",1,6,71885188.773081,391021.775092,"ops/s",100
"benchmarks.MapBenchmark.new_map_1","thrpt",1,6,941855.044529,15735.596412,"ops/s",10000
"benchmarks.MapBenchmark.new_map_3","thrpt",1,6,109168574.646082,150981.335189,"ops/s",0
"benchmarks.MapBenchmark.new_map_3","thrpt",1,6,91365485.032557,177634.745976,"ops/s",1
"benchmarks.MapBenchmark.new_map_3","thrpt",1,6,52834570.003911,114983.015712,"ops/s",10
"benchmarks.MapBenchmark.new_map_3","thrpt",1,6,20657673.811973,894472.979528,"ops/s",100
"benchmarks.MapBenchmark.new_map_3","thrpt",1,6,234670.090090,270049.929095,"ops/s",10000
"benchmarks.MapBenchmark.old_map_1","thrpt",1,6,229640879.918684,3153979.069417,"ops/s",0
"benchmarks.MapBenchmark.old_map_1","thrpt",1,6,167898802.893576,3695105.669616,"ops/s",1
"benchmarks.MapBenchmark.old_map_1","thrpt",1,6,123749647.455912,978055.458833,"ops/s",10
"benchmarks.MapBenchmark.old_map_1","thrpt",1,6,31053472.183074,93083.724679,"ops/s",100
"benchmarks.MapBenchmark.old_map_1","thrpt",1,6,98615.185651,1860.828440,"ops/s",10000
"benchmarks.MapBenchmark.old_map_3","thrpt",1,6,81308496.706156,193212.571357,"ops/s",0
"benchmarks.MapBenchmark.old_map_3","thrpt",1,6,38910685.488191,150641.602112,"ops/s",1
"benchmarks.MapBenchmark.old_map_3","thrpt",1,6,7258813.751898,95498.940164,"ops/s",10
"benchmarks.MapBenchmark.old_map_3","thrpt",1,6,726117.763124,98844.268518,"ops/s",100
"benchmarks.MapBenchmark.old_map_3","thrpt",1,6,8278.890788,27.706909,"ops/s",10000
