"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"benchmarks.MapBenchmark.new_map_1","avgt",1,3,3.812297,0.254269,"ns/op",1
"benchmarks.MapBenchmark.new_map_1","avgt",1,3,4.648717,0.473518,"ns/op",4
"benchmarks.MapBenchmark.new_map_1","avgt",1,3,5.993001,0.413114,"ns/op",8
"benchmarks.MapBenchmark.new_map_1","avgt",1,3,9.266313,0.724161,"ns/op",16
"benchmarks.MapBenchmark.new_map_1","avgt",1,3,17.446065,0.329008,"ns/op",32
"benchmarks.MapBenchmark.new_map_1","avgt",1,3,34.848069,2.215735,"ns/op",64
"benchmarks.MapBenchmark.new_map_1","avgt",1,3,69.546242,3.155709,"ns/op",128
"benchmarks.MapBenchmark.new_map_1","avgt",1,3,138.929250,5.421807,"ns/op",256
"benchmarks.MapBenchmark.new_map_1","avgt",1,3,291.441392,8.874906,"ns/op",512
"benchmarks.MapBenchmark.new_map_1","avgt",1,3,565.643206,20.047093,"ns/op",1000
"benchmarks.MapBenchmark.new_map_1","avgt",1,3,5837.106406,993.478856,"ns/op",10000
"benchmarks.MapBenchmark.old_map_1","avgt",1,3,6.589465,0.755657,"ns/op",1
"benchmarks.MapBenchmark.old_map_1","avgt",1,3,7.793484,0.703359,"ns/op",4
"benchmarks.MapBenchmark.old_map_1","avgt",1,3,9.432959,5.433378,"ns/op",8
"benchmarks.MapBenchmark.old_map_1","avgt",1,3,13.076121,2.360876,"ns/op",16
"benchmarks.MapBenchmark.old_map_1","avgt",1,3,23.192352,1.444934,"ns/op",32
"benchmarks.MapBenchmark.old_map_1","avgt",1,3,34.886579,2.436175,"ns/op",64
"benchmarks.MapBenchmark.old_map_1","avgt",1,3,69.794072,7.347455,"ns/op",128
"benchmarks.MapBenchmark.old_map_1","avgt",1,3,143.827128,6.231540,"ns/op",256
"benchmarks.MapBenchmark.old_map_1","avgt",1,3,311.115655,13.277280,"ns/op",512
"benchmarks.MapBenchmark.old_map_1","avgt",1,3,611.930964,56.967136,"ns/op",1000
"benchmarks.MapBenchmark.old_map_1","avgt",1,3,6045.890330,360.855776,"ns/op",10000
