"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"benchmarks.ForeachBenchmark.new_foreach","avgt",1,6,1.378643,0.021527,"ns/op",1
"benchmarks.ForeachBenchmark.new_foreach","avgt",1,6,2.804671,0.005989,"ns/op",4
"benchmarks.ForeachBenchmark.new_foreach","avgt",1,6,4.065782,0.039198,"ns/op",16
"benchmarks.ForeachBenchmark.new_foreach","avgt",1,6,19.306726,0.054433,"ns/op",128
"benchmarks.ForeachBenchmark.new_foreach","avgt",1,6,64.243899,0.118084,"ns/op",512
"benchmarks.ForeachBenchmark.old_foreach","avgt",1,6,5.462798,0.017341,"ns/op",1
"benchmarks.ForeachBenchmark.old_foreach","avgt",1,6,6.107600,0.020898,"ns/op",4
"benchmarks.ForeachBenchmark.old_foreach","avgt",1,6,10.095484,1.756238,"ns/op",16
"benchmarks.ForeachBenchmark.old_foreach","avgt",1,6,36.615173,0.191187,"ns/op",128
"benchmarks.ForeachBenchmark.old_foreach","avgt",1,6,130.671238,0.191000,"ns/op",512
"benchmarks.ForeachBenchmark.new_foreach","avgt",1,6,127.768295,0.273517,"ns/op",1000
"benchmarks.ForeachBenchmark.new_foreach","avgt",1,6,1236.734829,2.855888,"ns/op",10000
"benchmarks.ForeachBenchmark.old_foreach","avgt",1,6,637.124964,1.200038,"ns/op",1000
"benchmarks.ForeachBenchmark.old_foreach","avgt",1,6,2400.698905,3.727202,"ns/op",10000
